"Shoe","Coup","Player card 1","Player card 2","Player card 3","Banker card 1","Banker card 2","Banker card 3","Player total","Banker total","Winner","Pair outcome"
5,419,"6","2",NA,"J","A",NA,"8","1","Player","No pair"
5,420,"4","9","10","5","9",NA,"3","4","Banker","No pair"
6,421,"9","J",NA,"A","9",NA,"9","0","Player","No pair"
6,422,"6","J",NA,"Q","4","3","6","7","Banker","No pair"
6,423,"10","3","2","Q","A","K","5","1","Player","No pair"
6,424,"4","5",NA,"A","2",NA,"9","3","Player","No pair"
6,425,"2","4",NA,"9","K",NA,"6","9","Banker","No pair"
6,426,"5","7","J","K","3","7","2","0","Player","No pair"
6,427,"A","4","K","2","9","5","5","6","Banker","No pair"
6,428,"7","5",NA,"3","5",NA,"2","8","Banker","No pair"
6,429,"2","4",NA,"Q","3","A","6","4","Player","No pair"
6,430,"5","K","5","4","6","J","0","0","Tie","No pair"
6,431,"K","7",NA,"5","6","3","7","4","Player","No pair"
6,432,"J","10","4","6","A",NA,"4","7","Banker","No pair"
6,433,"8","A",NA,"4","A",NA,"9","5","Player","No pair"
6,434,"5","A",NA,"2","6",NA,"6","8","Banker","No pair"
6,435,"4","8","A","A","10","6","3","7","Banker","No pair"
6,436,"3","2","Q","J","3","A","5","4","Player","No pair"
6,437,"3","4",NA,"8","9",NA,"7","7","Tie","No pair"
6,438,"5","10","8","A","K","6","3","7","Banker","No pair"
6,439,"2","6",NA,"J","7",NA,"8","7","Player","No pair"
6,440,"3","5",NA,"10","10",NA,"8","0","Player","Banker pair"
6,441,"4","4",NA,"J","8",NA,"8","8","Tie","Player pair"
6,442,"2","5",NA,"A","6",NA,"7","7","Tie","No pair"
6,443,"Q","9",NA,"3","10",NA,"9","3","Player","No pair"
6,444,"8","J",NA,"9","3",NA,"8","2","Player","No pair"
6,445,"K","3","2","6","K",NA,"5","6","Banker","No pair"
6,446,"7","5","3","3","3",NA,"5","6","Banker","Banker pair"
6,447,"3","K","A","6","4","8","4","8","Banker","No pair"
6,448,"4","A","4","6","8","10","9","4","Player","No pair"
6,449,"2","2","Q","8","6",NA,"4","4","Tie","Player pair"
6,450,"5","J","6","J","2","8","1","0","Player","No pair"
6,451,"7","7",NA,"K","8",NA,"4","8","Banker","Player pair"
6,452,"Q","J",NA,"8","Q",NA,"0","8","Banker","No pair"
6,453,"5","6",NA,"A","8",NA,"1","9","Banker","No pair"
6,454,"3","Q","3","4","K","5","6","9","Banker","No pair"
6,455,"K","9",NA,"7","J",NA,"9","7","Player","No pair"
6,456,"K","2","10","10","A","A","2","2","Tie","No pair"
6,457,"10","7",NA,"9","Q",NA,"7","9","Banker","No pair"
6,458,"K","2","Q","K","6",NA,"2","6","Banker","No pair"
6,459,"7","K",NA,"2","J","6","7","8","Banker","No pair"
6,460,"9","Q",NA,"10","K",NA,"9","0","Player","No pair"
6,461,"J","7",NA,"9","Q",NA,"7","9","Banker","No pair"
6,462,"J","5","7","7","10",NA,"2","7","Banker","No pair"
6,463,"J","A","3","Q","J","K","4","0","Player","No pair"
6,464,"Q","5","10","7","10",NA,"5","7","Banker","No pair"
6,465,"7","A",NA,"9","A",NA,"8","0","Player","No pair"
6,466,"2","J",NA,"8","Q",NA,"2","8","Banker","No pair"
6,467,"10","A","3","J","3","Q","4","3","Player","No pair"
6,468,"9","2","9","3","Q","5","0","8","Banker","No pair"
6,469,"10","5","6","6","7","5","1","8","Banker","No pair"
6,470,"7","4","Q","K","2","10","1","2","Banker","No pair"
6,471,"10","8",NA,"J","3",NA,"8","3","Player","No pair"
6,472,"10","9",NA,"6","9",NA,"9","5","Player","No pair"
6,473,"J","8",NA,"K","10",NA,"8","0","Player","No pair"
6,474,"4","4",NA,"Q","7",NA,"8","7","Player","Player pair"
6,475,"2","3",NA,"8","K",NA,"5","8","Banker","No pair"
6,476,"8","6","5","9","6","9","9","4","Player","No pair"
6,477,"8","A",NA,"9","4",NA,"9","3","Player","No pair"
6,478,"5","9","8","2","K","4","2","6","Banker","No pair"
6,479,"4","K","7","4","9","7","1","0","Player","No pair"
6,480,"8","5",NA,"4","4",NA,"3","8","Banker","Banker pair"
6,481,"10","A",NA,"Q","9",NA,"1","9","Banker","No pair"
6,482,"5","7","7","2","4","J","9","6","Player","No pair"
6,483,"A","K","Q","2","J","Q","1","2","Banker","No pair"
6,484,"5","2",NA,"2","J","6","7","8","Banker","No pair"
6,485,"4","8","A","J","10","5","3","5","Banker","No pair"
6,486,"10","4","K","7","7",NA,"4","4","Tie","Banker pair"
6,487,"3","6",NA,"K","2",NA,"9","2","Player","No pair"
6,488,"Q","4","9","Q","10","Q","3","0","Player","No pair"
6,489,"J","K","Q","7","7",NA,"0","4","Banker","Banker pair"
6,490,"J","Q","5","4","3",NA,"5","7","Banker","No pair"
6,491,"2","3","9","10","J","6","4","6","Banker","No pair"
6,492,"8","9",NA,"8","2","A","7","1","Player","No pair"
6,493,"7","8","3","A","9","8","8","8","Tie","No pair"
6,494,"8","10",NA,"6","8",NA,"8","4","Player","No pair"
6,495,"10","J","K","5","9",NA,"0","4","Banker","No pair"
6,496,"5","7","J","7","Q",NA,"2","7","Banker","No pair"
6,497,"8","7","3","6","6","A","8","3","Player","Banker pair"
6,498,"4","8",NA,"5","4",NA,"2","9","Banker","No pair"
6,499,"10","K","6","J","Q","9","6","9","Banker","No pair"
6,500,"A","5",NA,"7","2",NA,"6","9","Banker","No pair"
